mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
zonisamide,212.22,0.11,1,3,0.11,9.84,86.19,0.12,14,2
JHU- 10992,212.22,0.11,1,3,0.11,9.84,86.19,0.12,14,2
NCGC EXT_IDNPC-7474023,212.22,0.11,1,3,0.11,9.84,86.19,0.12,14,2
JHU- 10987,291.73,3.33,1,3,0.08,3.83,59.3,0.2,20,4
Zomepirac,291.73,3.33,1,3,0.08,3.83,59.3,0.2,20,4
NCGC EXT_IDNPC-7233152,291.73,3.33,1,3,0.08,3.83,59.3,0.2,20,4
zolpidem,307.397,3.02,0,2,3.01,5.39,37.61,0.26,23,3
JHU- 10985,307.397,3.02,0,2,3.01,5.39,37.61,0.26,23,3
NCGC EXT_IDNPC-7346062,307.397,3.02,0,2,3.01,5.39,37.61,0.26,23,3
Zoledronate,272.09,-3.85,5,8,-7.39,0.66,153.11,0.4,16,4
JHU- 10977,272.09,-3.85,5,8,-7.39,0.66,153.11,0.4,16,4
NCGC EXT_IDNPC-7427423,272.09,-3.85,5,8,-7.39,0.66,153.11,0.4,16,4
JHU- 10961,412.94,4.3,1,4,4.13,7.09,48.47,0.33,28,4
ZIPRASIDONE,412.94,4.3,1,4,4.13,7.09,48.47,0.33,28,4
NCGC EXT_IDNPC-7406137,412.94,4.3,1,4,4.13,7.09,48.47,0.33,28,4
JHU- 10926,236.29,2.01,2,2,1.99,8.84,66.56,0.18,16,2
ZILEUTON,236.29,2.01,2,2,1.99,8.84,66.56,0.18,16,2
zaleplon,305.341,1.53,0,4,1.53,0.28,74.29,0.18,23,3
JHU- 10895,305.341,1.53,0,4,1.53,0.28,74.29,0.18,23,3
ZALEPLON,305.341,1.53,0,4,1.53,0.28,74.29,0.18,23,3
NCGC EXT_IDNPC-7299501,305.341,1.53,0,4,1.53,0.28,74.29,0.18,23,3
zalcitabine,211.221,-1.19,2,5,-1.19,4.48,88.15,0.56,15,2
JHU- 10893,211.221,-1.19,2,5,-1.19,4.48,88.15,0.56,15,2
zafirlukast,575.68,6.4,2,6,5.46,4.29,115.73,0.29,41,8
JHU- 10891,575.68,6.4,2,6,5.46,4.29,115.73,0.29,41,8
ZAFIRLUKAST,575.68,6.4,2,6,5.46,4.29,115.73,0.29,41,8
NCGC EXT_IDNPC-7257207,575.68,6.4,2,6,5.46,4.29,115.73,0.29,41,8
JHU- 10804,308.333,2.74,1,3,0.94,5.56,63.6,0.16,23,4
WARFARIN,308.333,2.74,1,3,0.94,5.56,63.6,0.16,23,4
NCGC EXT_IDNPC-7324520,308.333,2.74,1,3,0.94,5.56,63.6,0.16,23,4
vorinostat,264.325,2,3,3,1.99,8.91,78.43,0.43,19,8
JHU- 10800,264.325,2,3,3,1.99,8.91,78.43,0.43,19,8
NCGC EXT_IDNPC-7304732,264.325,2,3,3,1.99,8.91,78.43,0.43,19,8
vitamin e,430.717,10.51,1,2,10.51,10.8,29.46,0.79,31,12
JHU- 351,430.717,10.51,1,2,10.51,10.8,29.46,0.79,31,12
JHU- 10733,224.26,1.49,2,3,1.05,7.14,75.27,0.55,16,3
Vinbarbital,224.26,1.49,2,3,1.05,7.14,75.27,0.55,16,3
Viloxazine HCl,237.299,1.49,1,4,0.63,8.19,39.72,0.54,17,5
JHU- 10730,237.299,1.49,1,4,0.63,8.19,39.72,0.54,17,5
NCGC EXT_IDNPC-7330205,237.299,1.49,1,4,0.63,8.19,39.72,0.54,17,5
vigabatrin,129.159,-2.09,2,3,-2.09,4.61,63.32,0.5,9,4
JHU- 10727,129.159,-2.09,2,3,-2.09,4.61,63.32,0.5,9,4
NCGC EXT_IDNPC-7333783,129.159,-2.09,2,3,-2.09,4.61,63.32,0.5,9,4
verapamil,454.611,5.04,0,6,2.79,9.68,63.95,0.52,33,13
JHU- 10706,454.611,5.04,0,6,2.79,9.68,63.95,0.52,33,13
venlafaxine,277.408,2.74,1,3,1.22,8.91,32.7,0.65,20,5
JHU- 10701,277.408,2.74,1,3,1.22,8.91,32.7,0.65,20,5
VENLAFAXINE,277.408,2.74,1,3,1.22,8.91,32.7,0.65,20,5
NCGC EXT_IDNPC-7269944,277.408,2.74,1,3,1.22,8.91,32.7,0.65,20,5
valproic acid,144.214,2.8,1,2,0.56,5.14,37.3,0.88,10,5
JHU- 10660,144.214,2.8,1,2,0.56,5.14,37.3,0.88,10,5
VALPROIC ACID,144.214,2.8,1,2,0.56,5.14,37.3,0.88,10,5
NCGC EXT_IDNPC-9299249,144.214,2.8,1,2,0.56,5.14,37.3,0.88,10,5
Valdecoxib,314.36,2.82,1,3,2.82,10.1,86.19,0.06,22,3
JHU- 10643,314.36,2.82,1,3,2.82,10.1,86.19,0.06,22,3
NCGC EXT_IDNPC-7296952,314.36,2.82,1,3,2.82,10.1,86.19,0.06,22,3
urea,60.056,-1.36,2,1,-1.36,15.7,69.11,0,4,0
JHU- 10621,60.056,-1.36,2,1,-1.36,15.7,69.11,0,4,0
tyloxapol,643.009,16.12,3,3,16.06,8.25,60.69,0.59,47,25
JHU- 10592,643.009,16.12,3,3,16.06,8.25,60.69,0.59,47,25
JHU- 10590,274.361,2.47,2,2,2.47,15.3,90.65,0.85,19,11
Tybamate,274.361,2.47,2,2,2.47,15.3,90.65,0.85,19,11
NCGC EXT_IDNPC-7243865,274.361,2.47,2,2,2.47,15.3,90.65,0.85,19,11
tropicamide,284.359,1.38,1,3,1.38,5.02,53.43,0.29,21,6
JHU- 10552,284.359,1.38,1,3,1.38,5.02,53.43,0.29,21,6
NCGC EXT_IDNPC-7299115,284.359,1.38,1,3,1.38,5.02,53.43,0.29,21,6
tromethamine,121.136,-2.71,4,4,-4.26,8.95,86.71,1,8,3
JHU- 10546,121.136,-2.71,4,4,-4.26,8.95,86.71,1,8,3
Tromethamine,121.136,-2.71,4,4,-4.26,8.95,86.71,1,8,3
NCGC EXT_IDNPC-7263145,121.136,-2.71,4,4,-4.26,8.95,86.71,1,8,3
troglitazone,441.54,5.5,2,5,5.15,7.31,84.86,0.42,31,5
JHU- 10540,441.54,5.5,2,5,5.15,7.31,84.86,0.42,31,5
TROGLITAZONE,441.54,5.5,2,5,5.15,7.31,84.86,0.42,31,5
NCGC EXT_IDNPC-7251824,441.54,5.5,2,5,5.15,7.31,84.86,0.42,31,5
JHU- 10524,278.399,4.05,0,2,2.79,8.64,16.13,0.32,21,4
Triprolidine,278.399,4.05,0,2,2.79,8.64,16.13,0.32,21,4
tripelennamine,255.365,3.2,0,3,1.82,8.76,19.37,0.31,19,6
JHU- 10520,255.365,3.2,0,3,1.82,8.76,19.37,0.31,19,6
Tripelennamine,255.365,3.2,0,3,1.82,8.76,19.37,0.31,19,6
NCGC EXT_IDNPC-7269205,255.365,3.2,0,3,1.82,8.76,19.37,0.31,19,6
trioxsalen,228.247,2.95,0,1,2.95,-2.82,39.44,0.21,17,0
JHU- 10516,228.247,2.95,0,1,2.95,-2.82,39.44,0.21,17,0
Trioxsalen,228.247,2.95,0,1,2.95,-2.82,39.44,0.21,17,0
NCGC EXT_IDNPC-7402337,228.247,2.95,0,1,2.95,-2.82,39.44,0.21,17,0
trimipramine,294.442,4.76,0,2,2.75,9.42,6.48,0.4,22,4
JHU- 10508,294.442,4.76,0,2,2.75,9.42,6.48,0.4,22,4
Trimipramine,294.442,4.76,0,2,2.75,9.42,6.48,0.4,22,4
NCGC EXT_IDNPC-7358214,294.442,4.76,0,2,2.75,9.42,6.48,0.4,22,4
